Winterberg	TOWN	51.1953	8.5336	Hochsauerland
Cochem	TOWN	50.1469	7.1667	Moseltal
Bernkastel-Kues	TOWN	49.9161	7.0750	Moseltal
Rothenburg ob der Tauber	TOWN	49.3775	10.1802	Romantische Straße
Rüdesheim am Rhein	TOWN	49.9789	7.9228	Mittelrheintal
Bad Tölz	TOWN	47.7600	11.5583	Oberbayern
Tegernsee	TOWN	47.7083	11.7578	Bayerische Alpen
Baden-Baden	CITY	48.7606	8.2398	Schwarzwald
Freudenstadt	TOWN	48.4633	8.4117	Schwarzwaldhochstraße
Titisee-Neustadt	TOWN	47.9042	8.2142	Südschwarzwald
Bad Pyrmont	TOWN	51.9861	9.2536	Weserbergland
Schotten (Vogelsberg)	TOWN	50.5019	9.1231	Vogelsberg
Feldberg (Schwarzwald)	POI	47.8744	8.0369	Höchster Berg Schwarzwald
Nürburgring	POI	50.3342	6.9427	Eifel / Nordschleife
Kyffhäuser	POI	51.4131	11.1092	Kurvenstrecke Kyffhäuser
Wasserkuppe	POI	50.4978	9.9378	Rhön
Brocken	POI	51.7992	10.6156	Harz
Großer Feldberg (Taunus)	POI	50.2319	8.4583	Taunus
Torfhaus (Harz)	POI	51.8050	10.5372	Motorradtreff Harz
Johanniskreuz (Pfälzerwald)	POI	49.3375	7.8247	Motorradtreff Pfälzerwald
